noun_count,verb_count,adj_count,adv_count,pronoun_count,modal_count,complexity_verb_ratio,adj_adv_ratio,avg_sentence_length,avg_syllables_per_word,flesch_reading_ease,tfidf_cosine_similarity,sbert_prompt_adherence_similarity,mean_tfidf_score,std_tfidf_score,unique_word_ratio,window_repeat_count,num_grammatical_errors,lt_error_count,avg_dependency_distance,contrast_marker_ratio,addition_marker_ratio,cause_effect_marker_ratio,avg_adjacent_sentence_similarity,score,Task_Achievement,Cohesion,Vocabulary,Grammar
85,56,37,11,16,1,3.5,0.1610738255033557,18.2,1.8,36.08,0.18563173035322061,0.6358461,0.05212264376351671,0.05386285858726233,0.6040268456375839,51,27,18,2.1853146853146854,0.0625,0.0625,0.125,0.38264957070350647,6.0,6.0,6.5,6.0,6.0
80,46,32,21,11,6,3.8333333333333335,0.17785234899328858,19.9,1.7,42.82,0.19214423654361085,0.6210405,0.04778582184688728,0.05829522632459483,0.5838926174496645,98,25,19,2.5513698630136985,0.0,0.16666666666666666,0.16666666666666666,0.2973653972148895,7.5,7.5,7.5,7.0,7.0
111,62,44,14,5,15,3.4444444444444446,0.1518324607329843,21.3,1.7,41.4,0.33291813232158063,0.71121514,0.04173008582438339,0.05730380061767543,0.518324607329843,108,31,22,2.5190217391304346,0.0,0.2222222222222222,0.16666666666666666,0.36171457171440125,7.5,7.0,7.0,6.5,7.0
67,51,29,21,13,5,3.923076923076923,0.19305019305019305,19.8,1.7,42.92,0.5186265151705731,0.77484524,0.063024541040004,0.05955421243856772,0.5212355212355212,57,18,16,2.565040650406504,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.5348465442657471,6.5,6.5,6.5,6.0,6.0
72,58,23,21,23,11,3.625,0.1437908496732026,18.9,1.6,52.29,0.285065765650328,0.35684973,0.054085244523933464,0.057660960144506127,0.5294117647058824,92,25,17,2.4413793103448276,0.125,0.125,0.0625,0.29184049367904663,5.0,5.0,4.0,5.0,5.0
115,90,55,39,16,10,3.3333333333333335,0.20568927789934355,16.8,1.6,54.42,0.4823650574421481,0.68519557,0.03889827723141759,0.04739538505665273,0.5842450765864332,94,40,48,2.351039260969977,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.34529510140419006,4.5,3.5,3.0,3.0,3.0
66,51,23,14,19,11,5.1,0.13602941176470587,27.2,1.4,60.79,0.48061056744530845,0.66902614,0.05803615256551538,0.05782053606950886,0.5477941176470589,96,28,31,2.5265151515151514,0.1,0.3,0.2,0.3111032545566559,2.5,3.0,3.0,2.0,2.0
94,69,40,26,11,8,3.0,0.18696883852691218,15.3,1.6,55.95,0.294127516866128,0.56867373,0.045860967742807436,0.04900281769651292,0.6317280453257791,56,33,49,2.3333333333333335,0.08695652173913043,0.17391304347826086,0.17391304347826086,0.32310250401496887,6.0,6.5,6.0,6.0,6.0
71,39,19,15,10,8,3.5454545454545454,0.14166666666666666,20.4,1.7,42.31,0.2737698042347863,0.71239865,0.0576104074299747,0.054864878381373904,0.6458333333333334,58,20,17,2.3628691983122363,0.18181818181818182,0.36363636363636365,0.0,0.37303683161735535,7.0,6.0,5.0,5.0,5.0
106,83,61,21,17,9,4.15,0.19523809523809524,21.0,1.7,41.7,0.4439762383560095,0.61858165,0.0403350666238812,0.04937735362343317,0.5904761904761905,103,36,22,2.3325,0.1,0.15,0.15,0.3367072343826294,7.5,8.0,8.5,7.5,7.0
